pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,win_deauth,win_probe,win_beacon,win_auth,gw_mac,gw_flip,label,attack_type,timestamp
45917,,-72,25,53,3616,65296,42840,3240494,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,1,1000.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:22.459354
45917,BEACON,-88,9,0,709,65296,42840,3241305,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,54.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:23.270354
45917,,-63,34,292,1475,65296,42840,3241453,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,23,950.4,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:23.418354
45917,BEACON,-93,4,40028,2096,65296,42840,3242150,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,48.8,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:24.115354
45917,,-89,8,0,2515,65296,42840,3242899,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,2,66.7,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:24.864354
45917,BEACON,-88,9,0,731,65296,42840,3243558,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,12,760.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:25.523354
45917,,-92,5,137802,940,65296,42840,3244106,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,5,97.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:26.071354
45917,BEACON,-89,8,0,1683,65296,42840,3244694,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,3,116.9,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:26.659354
45917,,-63,34,0,1522,65296,42840,3244896,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,20,895.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:26.861354
45917,BEACON,-95,2,0,1691,65296,42840,3245523,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,3,86.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:27.488354
